"Title","Instructor","Days","Time","Enrolled","Units","Mode","Type"
"BIOL 332 S01 - Vascular Plant Diversity","Karoly","MWF
W","11:00 - 11:50
13:10 - 17:00","12 of 16","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 332 S02 - Vascular Plant Diversity","Karoly","MWF
Th","11:00 - 11:50
13:40 - 17:30","11 of 16","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 358 S01 - Microbiology","Mellies","MWF
Th","10:00 - 10:50
13:40 - 17:30","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 358 S02 - Microbiology","Mellies","MWF
F","10:00 - 10:50
13:10 - 17:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 363 S01 - Genes, Genetics, & Genomes","Coate","TuTh
Tu","10:30 - 11:50
13:40 - 17:30","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 363 S02 - Genes, Genetics, & Genomes","Coate","TuTh
W","10:30 - 11:50
13:10 - 17:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 372 S01 - Cellular Biology","Applewhite","MW
W","8:30 - 9:50
13:10 - 17:00","14 of 17","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 372 S02 - Cellular Biology","Applewhite","MW
Th","8:30 - 9:50
13:40 - 17:30","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"BIOL 431 S01 - Sem: Developmental Neurobio","Cerveny","Th","18:10 - 20:30","16 of 24","0.5 units","In-Person Instruction Only","CONFERENCE"
"BIOL 431 S02 - Sem: Forest Canopy Research","Ramirez","Tu","13:40 - 15:00","12 of 24","0.5 units","In-Person Instruction Only","CONFERENCE"
"BIOL 431 S03 - Sem: Evolution 's Rainbow","Anderson","M","14:40 - 16:00","15 of 23","0.5 units","In-Person Instruction Only","CONFERENCE"
"BIOL 431 S04 - Sem: Genome Evolution","Schaack","Tu","15:10 - 16:30","5 of 23","0.5 units","In-Person Instruction Only","CONFERENCE"
"BIOL 470 Y - Thesis (Biology)","Staff",NA,"TBD","1 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"BIPH 470 Y - Thesis (Biology-Philosophy)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"BIPY 470 Y - Thesis (Biology-Psych)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"BMB 470 Y - Thesis (Biochem/Molecular Bio)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"CHEM 010 S - Reactor Seminar","Newhouse","M","19:45 - 21:00","15 of 50","0 units","Instruction mode N/A","SEMINAR"
"CHEM 102 S11 - Chemical Reactivity","El-Mansy","MWF
W","10:00 - 10:50
15:10 - 16:00","15 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 S12 - Chemical Reactivity","El-Mansy","MWF
Th","10:00 - 10:50
15:10 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 S21 - Chemical Reactivity","Cass","MWF
W","11:00 - 11:50
13:40 - 14:30","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 S22 - Chemical Reactivity","Cass","MWF
W","11:00 - 11:50
15:10 - 16:00","11 of 16","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 S23 - Chemical Reactivity","Cass","MWF
Th","11:00 - 11:50
11:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 S31 - Chemical Reactivity","Dannenhoffer-Lafage","MWF
Th","11:00 - 11:50
11:00 - 11:50","10 of 15","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 S32 - Chemical Reactivity","Dannenhoffer-Lafage","MWF
Th","11:00 - 11:50
13:40 - 14:30","8 of 16","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 S33 - Chemical Reactivity","Dannenhoffer-Lafage","MWF
Th","11:00 - 11:50
15:10 - 16:00","13 of 16","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 102 SL1 - Chemical Reactivity: Lab","Poletti","M","13:10 - 16:00","Full (no wait list available)","0 units","In-Person Instruction Only","LAB"
"CHEM 102 SL2 - Chemical Reactivity: Lab","Poletti","Tu","9:00 - 11:50","17 of 22","0 units","In-Person Instruction Only","LAB"
"CHEM 102 SL3 - Chemical Reactivity: Lab","Poletti","Tu","13:40 - 16:30","21 of 22","0 units","In-Person Instruction Only","LAB"
"CHEM 102 SL4 - Chemical Reactivity: Lab","Poletti","W","13:10 - 16:00","11 of 20","0 units","In-Person Instruction Only","LAB"
"CHEM 102 SL5 - Chemical Reactivity: Lab","Poletti","W","18:10 - 21:00","21 of 23","0 units","In-Person Instruction Only","LAB"
"CHEM 102 SL6 - Chemical Reactivity: Lab","Poletti","Th","13:40 - 16:30","19 of 21","0 units","In-Person Instruction Only","LAB"
"CHEM 202 S01 - Organic Chemistry II","O'Brien","MWF","9:00 - 9:50","20 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 202 S02 - Organic Chemistry II","O'Brien","MWF","10:00 - 10:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 202 S03 - Organic Chemistry II","McGhee","MWF","11:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 202 S04 - Organic Chemistry II","McGhee","MWF","9:00 - 9:50","14 of 24","1 unit","In-Person Instruction Only","LECTURE AND CONFERENCE"
"CHEM 202 SL1 - Organic Chemistry II: Lab","Ni","Tu
M","13:40 - 17:30
18:10 - 19:00","Full (no wait list available)","0 units","In-Person Instruction Only","LAB AND LAB-LECTURE"
"CHEM 202 SL2 - Organic Chemistry II: Lab","Ni","W
M","13:10 - 17:00
18:10 - 19:00","19 of 21","0 units","In-Person Instruction Only","LAB AND LAB-LECTURE"
"CHEM 202 SL3 - Organic Chemistry II: Lab","Ni","Th
M","12:00 - 15:50
18:10 - 19:00","17 of 21","0 units","In-Person Instruction Only","LAB AND LAB-LECTURE"
"CHEM 202 SL4 - Organic Chemistry II: Lab","Ni","F
M","13:10 - 17:00
18:10 - 19:00","Full (no wait list available)","0 units","In-Person Instruction Only","LAB AND LAB-LECTURE"
"CHEM 212 S - Inorganic Chemistry","Bowring","MWF
M","11:00 - 11:50
13:10 - 17:00","9 of 24","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"CHEM 230 S - Environmental Chemistry","Gratz","MW","13:10 - 14:30","16 of 24","1 unit","In-Person Instruction Only","LECTURE"
"CHEM 315 S - Physical Chemistry Laboratory","James","F","13:10 - 17:00","15 of 24","0.5 units","In-Person Instruction Only","LAB"
"CHEM 316 S - P-Chem Lab: Diatomic Spectra","Staff",NA,NA,NA,NA,NA,"LECTURE | CANCELLED"
"CHEM 324 S - Adv Physical Organic Chem","Campillo-Alvarado","TuTh","13:40 - 15:00","7 of 24","1 unit","In-Person Instruction Only","LECTURE"
"CHEM 332 S - Chem Thermodynamics & Kinetics","James","TuTh","12:00 - 13:20","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE"
"CHEM 392 S - Biochemical Homeostasis","Chacón","TuTh","9:00 - 10:20","17 of 24","1 unit","In-Person Instruction Only","LECTURE"
"CHEM 394 S - Biochemical Methods","Chacón","M
Tu","12:00 - 12:50
13:40 - 17:30","15 of 16","0.5 units","In-Person Instruction Only","LECTURE AND LAB"
"CHEM 470 Y - Thesis (Chemistry)","Staff",NA,"TBD","0 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"CHIN 112 S01 - Beginning Chinese II","Wu","MTuWThF","11:00 - 11:50","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CHIN 112 S02 - Beginning Chinese II","Wu","MTuWThF","12:00 - 12:50","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CHIN 212 S01 - Intermediate Chinese II","Jiang","MTuWThF","11:00 - 11:50","6 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CHIN 212 S02 - Intermediate Chinese II","Jiang","MTuWThF","12:00 - 12:50","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CHIN 316 S - Classical Chinese","Rhew","MWF","11:00 - 11:50","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CHIN 325 S - Songs to Lost Music: Ci-Poetry","Rhew","MWF","14:40 - 15:30","6 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CHIN 346 S - Screening Post-Socialist China","Jiang","TuTh","15:10 - 16:30","12 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CHIN 470 Y - Thesis (Chinese)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"CMPL 201 S - Intro to Comp Lit","López Lerma","TuTh","12:00 - 13:20","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CMPL 470 Y - Thesis (Comparative Lit)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"CPHY 470 Y - Thesis (Chemistry-Physics)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"CRES 150 S - The Cultural Study of Music","Luker","TuTh","9:00 - 10:20","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"CRES 254 S - Africa and Black Music","Burford","TuTh","10:30 - 11:50","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CRES 300 S - JSem: Race and Immigration","Silverstein","W","18:10 - 21:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"CRES 321 S - Bible and Ethnicity","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"CRES 333 S - Jews across the Americas","Leibman","MWF","11:00 - 11:50","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CRES 385 S01 - Race, Ethnicity and Empire","Natarajan","MW","13:10 - 14:30","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CRES 385 S02 - Race, Ethnicity and Empire","Natarajan","MW","14:40 - 16:00","14 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CRES 470 Y - Thesis (Comp Race & Ethn)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"CRWR 201 S - Making Fiction","Jaffe","TuTh","13:40 - 15:00","12 of 15","1 unit","In-Person Instruction Only","CONFERENCE"
"CRWR 224 S - Introduction to Poetry Wkshp","Kane","TuTh","12:00 - 13:20","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"CRWR 321 S - Revision and Beyond","Jaffe","TuTh","10:30 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"CRWR 331 S01 - Intermediate Poetry Workshop","Kane","M","18:10 - 21:00","10 of 15","1 unit","In-Person Instruction Only","CONFERENCE"
"CRWR 331 S02 - Advanced Poetry Workshop","Kane","TuTh","13:40 - 15:00","8 of 15","1 unit","In-Person Instruction Only","CONFERENCE"
"CSCI 121 S01 - Computer Science I","Blum","MWF","13:10 - 14:30","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"CSCI 121 S02 - Computer Science I","Staff",NA,NA,NA,NA,NA,"LECTURE AND LAB | CANCELLED"
"CSCI 221 S01 - Computer Science II","Anderson","MW
Th","13:10 - 14:30
18:10 - 19:30","12 of 18","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"CSCI 221 S02 - Computer Science II","Anderson","MW
Th","13:10 - 14:30
19:40 - 21:00","10 of 18","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"CSCI 378 S - Deep Learning","Anderson","MWF","11:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","LECTURE"
"CSCI 382 S - Algorithms & Data Structures","Blum","MW","14:40 - 16:00","22 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CSCI 387 S01 - Computability & Complexity","Groce","MW","13:10 - 14:30","21 of 24","1 unit","In-Person Instruction Only","LECTURE"
"CSCI 387 S02 - Computability & Complexity","Staff",NA,NA,NA,NA,NA,"LECTURE AND LAB | CANCELLED"
"CSCI 389 S - Computer Systems","McGuffey","MWF","10:00 - 10:50","15 of 24","1 unit","In-Person Instruction Only","LECTURE"
"CSCI 396 S - Computer Networks","McGuffey","MWF","12:00 - 12:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"CSCI 441 S - Topics In Computer Sci Theory","Pommersheim","TuTh","9:00 - 10:20","13 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"CSCI 470 Y - Thesis (Computer Science)","Staff",NA,"TBD","2 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"CSMA 470 Y - Thesis (Math/Computer Sci)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"DANC 100 S01 - Dance Production","Mann",NA,"TBD","2 of 24","0 units","In-Person Instruction Only","STUDIO"
"DANC 100 S02 - Dance Production","Mann",NA,"TBD","2 of 24","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 101 SB1 - Ballet I-II","Fortuna","MW","18:10 - 19:30","1 of 6","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 101 SB3 - Ballet III-IV","Fortuna","MW","16:40 - 18:00","1 of 6","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 101 SH1 - Hip Hop Dance I-II","Fortuna","F","16:40 - 18:00","0 of 6","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 101 SH3 - Hip-Hop Dance III-IV","Fortuna","Tu","18:10 - 19:30","2 of 6","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 101 ST1 - Tango I - II","Fortuna","TuTh","15:10 - 16:30","1 of 6","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 112 S01 - Intro Cntp Dance: Cross Culture","Parsons-Akinjiola","TuTh","10:30 - 11:50","4 of 18","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 112 S02 - Intro Cntp Dance: Cross Culture","Parsons-Akinjiola","TuTh","10:30 - 11:50","4 of 18","1 unit","In-Person Instruction Only","STUDIO"
"DANC 252 S01 - Improvisation","Mann","MW","14:40 - 16:00","19 of 24","0.5 units","In-Person Instruction Only","CONFERENCE"
"DANC 252 S02 - Improvisation","Mann","MW","14:40 - 16:00","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"DANC 313 S01 - Contemporary Dance V","Parsons-Akinjiola","MW","13:10 - 14:30","4 of 18","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 313 S02 - Contemporary Dance V","Parsons-Akinjiola","MW","13:10 - 14:30","4 of 18","1 unit","In-Person Instruction Only","STUDIO"
"DANC 362 S - Dance Ethnography","Fortuna","TuTh","13:40 - 15:00","5 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"DANC 411 S01 - Advanced Technique & Perform","Parsons-Akinjiola","TuTh","12:00 - 13:20","12 of 18","0.5 units","In-Person Instruction Only","STUDIO"
"DANC 411 S02 - Advanced Technique & Perform","Parsons-Akinjiola","TuTh","12:00 - 13:20","12 of 18","1 unit","In-Person Instruction Only","STUDIO"
"DANC 470 Y - Thesis (Dance)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ECMA 470 Y - Thesis (Economics/Mathematics)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ECON 201 S01 - Intro to Economic Analysis","Rork","MWF","10:00 - 10:50","24 of 26","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 201 S02 - Intro to Economic Analysis","Rork","MWF","11:00 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 201 S03 - Intro to Economic Analysis","Carrera","MW","13:10 - 14:30","17 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 201 S04 - Intro to Economic Analysis","Carrera","MW","14:40 - 16:00","13 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 281 S - Revolution & Reform Chinese Ag","Hare","MW","18:10 - 19:30","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 312 S - Theory & Practice Econometrics","Carrera","TuTh","9:00 - 10:20","14 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 314 S - Macroeconomic Theory","Cottle Hunt","TuTh","15:10 - 16:30","14 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 315 S - Game Theory","Rork","MWF","12:00 - 12:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 358 S - Urban Economics","Rork","MWF","13:40 - 14:30","15 of 24","1 unit","Instruction mode N/A","CONFERENCE"
"ECON 366 S - Jobs, Technology and Trade","Hare","MW","14:40 - 16:00","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 371 S - Law and Economics","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ECON 382 S - Economics of Development","Novak","TuTh","13:40 - 15:00","16 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 393 S - Health & Consumer Behavior","Novak","TuTh","10:30 - 11:50","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 416 S - Computational Macroeconomics","Cottle Hunt","TuTh","12:00 - 13:20","5 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ECON 470 Y - Thesis (Economics)","Staff",NA,"TBD","0 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ECPS 470 Y - Thesis (Economics-Psychology)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ENG 205 S01 - Tolkien and Lewis","Faletra","MWF","12:00 - 12:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 205 S02 - Tolkien and Lewis","Faletra","MWF","11:00 - 11:50","23 of 25","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 213 S01 - Ethnopoetics","Leibman","TuTh","9:00 - 10:20","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 213 S02 - Ethnopoetics","Leibman","TuTh","12:00 - 13:20","22 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 242 S - Irish Drama & Politics of Place","Wagner-McCoy","TuTh","10:30 - 11:50","21 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 301 S01 - Junior Seminar","Martínez","MW","14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 301 S02 - Junior Seminar","Martínez","TuTh","15:10 - 16:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 303 S - Jews across the Americas","Leibman","MWF","11:00 - 11:50","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 333 S - Postcolonial Hauntings","Rajbhandari","MW","14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 352 S - Middle English Literature","Faletra","MW","14:40 - 16:00","22 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 366 S - Remixing the Canon","Miller","TuTh","12:00 - 13:20","23 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 381 S - City in Film","Harkin","TuTh","10:30 - 11:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 383 S - Adaptation Across Media","Sanders","TuTh
W","16:40 - 18:00
18:10 - 21:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 400 S - Intro to Literary Theory","King","TuTh","15:10 - 16:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ENG 470 Y - Thesis (English)","Staff",NA,"TBD","4 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ENG 566 S - Beauty & The Poetic Text","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ENV 200 S - Intro to Environmental Studies","Gratz","TuTh","13:40 - 15:00","21 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENV 300 S - Junior Seminar","Ramirez","TuTh","9:00 - 10:20","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ENV 470 Y - Thesis (Environmental Studies)","Staff",NA,"TBD","2 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"FREN 112 S01 - Beginning French II","Monnin","MTuWThF","11:00 - 11:50","5 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 112 S02 - Beginning French II","Monnin","MTuWThF","12:00 - 12:50","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 212 S01 - Intermediate French II","Hochman","MWF","11:00 - 11:50","14 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 212 S02 - Intermediate French II","Hochman","MWF","12:00 - 12:50","9 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 320 S - Advanced French Language","Witt","MWF","11:00 - 11:50","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 328 S - Monstrous & Human in Fr Lit","Delehanty","MW","14:40 - 16:00","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 363 S - Francophone Literature","Hochman","TuTh","12:00 - 13:20","6 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 390 S - Postwar French Cinema","Witt","TuTh","13:40 - 15:00","11 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 391 S - French Literature and Culture","Monnin","MW","14:40 - 16:00","5 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"FREN 470 Y - Thesis (French)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"GER 112 S01 - Beginning German II","Garloff","MTuWThF","11:00 - 11:50","10 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"GER 112 S02 - Beginning German II","Mieszkowski","MTuWThF","12:00 - 12:50","9 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"GER 212 S - Intermediate German II","Fraser","MTuWTh","12:00 - 12:50","11 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"GER 312 S - Adv Ger II: Contemp German Lit","Garloff","MW","13:10 - 14:30","5 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"GER 335 S - Contemp German Lit","Garloff","MW","13:10 - 14:30","5 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"GER 375 S - Androids in Science and Lit","Fraser","MW","14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"GER 470 Y - Thesis (German)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"GLAM 470 Y - Thesis","Staff",NA,"TBD","2 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"GRK 111 S - First Year Greek Part I","Landvatter","MTuWThF","11:00 - 11:50","9 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"GRK 201 S - Intermediate Greek","Nicholson","MTuWTh","11:00 - 11:50","3 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"GRK 302 S - Advanced Greek II","Sabnis","TuTh","10:30 - 11:50","4 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HISL 470 Y - Thesis (History-Literature)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"HIST 206 S - Anti-Colonial Movements","Matsushita","MWF","10:00 - 10:50","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 224 S - Modern China thru Foreign Eyes","Zhang","TuTh","13:40 - 15:00","22 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 272 S01 - Gender and the American Family","Dirks","MW","13:10 - 14:30","22 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 272 S02 - Gender and the American Family","Dirks","TuTh","15:10 - 16:30","23 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 307 S - War/Peace in Europe 1700-1914","Miller","TuTh","9:00 - 10:20","21 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 315 S01 - Race, Ethnicity and Empire","Natarajan","MW","13:10 - 14:30","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 315 S02 - Race, Ethnicity and Empire","Natarajan","MW","14:40 - 16:00","14 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 317 S - The American Earth","Howe","TuTh","10:30 - 11:50","17 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 345 S - Whole Earths & World Pictures","Lazier","W","17:40 - 20:30","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 376 S - The United States in the 1970s","Dirks","TuTh","12:00 - 13:20","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 411 S - JSem: Writing Hist 16th C Mexico","Garrett","TuTh","15:10 - 16:30","11 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 421 S - War, Justice, Society US 1846-65","Minardi","MW","14:40 - 16:00","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"HIST 470 Y - Thesis (History)","Staff",NA,"TBD","1 of 40","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"HUM 110 Y01 - Introduction to the Humanities","Caffee","MWF
TuTh","9:00 - 9:50
9:00 - 10:20","15 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y02 - Introduction to the Humanities","Delehanty","MWF
MWF","9:00 - 9:50
10:00 - 10:50","16 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y03 - Introduction to the Humanities","Handy","MWF
TuTh","9:00 - 9:50
10:30 - 11:50","15 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y04 - Introduction to the Humanities","Chang","MWF
MWF","9:00 - 9:50
11:00 - 11:50","16 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y05 - Introduction to the Humanities","Golubović","MWF
MWF","9:00 - 9:50
13:10 - 14:00","14 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y06 - Introduction to the Humanities","King","MWF
TuTh","9:00 - 9:50
10:30 - 11:50","15 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y07 - Introduction to the Humanities","Kroll","MWF
MWF","9:00 - 9:50
11:00 - 11:50","16 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y08 - Introduction to the Humanities","Matsushita","MWF
MWF","9:00 - 9:50
12:00 - 12:50","Full (no wait list available)","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y09 - Introduction to the Humanities","Mieszkowski","MWF
MW","9:00 - 9:50
14:40 - 16:00","15 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y10 - Introduction to the Humanities","Minardi","MWF
MWF","9:00 - 9:50
11:00 - 11:50","15 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
"HUM 110 Y11 - Introduction to the Humanities","Nicholson","MWF
TuTh","9:00 - 9:50
13:40 - 15:00","16 of 17","1.5 units","In-Person Instruction Only","LECTURE AND CONFERENCE"
